web_scraper_order,web_scraper_start_url,category,category_href,category_emoji_character,category_name,category_description,category_emoji_item,category_emoji_item_href,emoji_character,emoji_name,emoji_description,emoji_name_aliases,emoji_apple_name,emoji_unicode_name,emoji_codepoints,emoji_shortcodes,emoji_references
"1573612926-1995","https://emojipedia.org/","😃 Smileys & People","https://emojipedia.org/people/","😃","Smileys & People","Emojis for smileys, people, families, hand gestures, clothing and accessories.","🤚 Raised Back of Hand","https://emojipedia.org/raised-back-of-hand/","🤚","Raised Back of Hand","A raised hand, showing the reverse side of the palm. May be paired with the forward-facing raised hand emoji.

Raised Back of Hand was approved as part of Unicode 9.0 in 2016
and added to Emoji 3.0 in 2016.","🤚 Backhand","Back of Hand","null","U+1F91A","null","🖂 Back of Envelope
🙋 Person Raising Hand
🧴 Lotion Bottle
🙌 Raising Hands
✊ Raised Fist
✋ Raised Hand
🖑 Reversed Raised Hand with Fingers Splayed
👆 Backhand Index Pointing Up"
"1573609811-604","https://emojipedia.org/","🎌 Flags","https://emojipedia.org/flags/","🎌","Flags","List of country flag emojis. 🇯🇵 🇰🇷 🇩🇪 🇨🇳 🇺🇸 🇫🇷 🇪🇸 🇮🇹 🇷🇺 🇬🇧 Emoji flags are supported on all major platforms except Windows, which displays two-letter country codes instead of emoji flag images.","🇲🇴 Flag: Macao Sar China","https://emojipedia.org/flag-for-macau/","🇲🇴","Flag: Macao Sar China","The flag for Macau, which may show as the letters MO on some platforms.
The Flag: Macao Sar China emoji is a sequence of the 🇲 Regional Indicator Symbol Letter M and 🇴 Regional Indicator Symbol Letter O emojis.
These display as a single emoji on supported platforms.

Flag: Macao Sar China was added to Emoji 1.0 in 2015.","🇲🇴 Macanese Flag","Flag of Macau Sar China","Flag: Macao SAR China","U+1F1F2","null","🇲🇴 on Instagram
🇲🇴 on Twitter
🇲🇴 on Wikipedia
🇲🇴 on Yelp
🇲🇴 on YouTube
🇲🇴 on Google Trends
🇲🇴 on Nomad List"
"1573612330-1719","https://emojipedia.org/","🐻 Animals & Nature","https://emojipedia.org/nature/","🐻","Animals & Nature","Emojis for animals, nature, and weather.","💫 Dizzy","https://emojipedia.org/dizzy-symbol/","💫","Dizzy","A cartoon-styled representation of dizziness. Generally depicted as one or more yellow stars swirling in a yellow or blue circle.
Resembles squeans, stylized stars and circles over the heads of characters in comics and animation to show they are dizzy, disoriented, intoxicated, or sick.
Commonly used for emphasis and flair or to indicate various positive sentiments. Like 🌠 Shooting Star, sometimes used as a visual reference to NBC’s More You Know public service announcement, popular in the 1990s and featuring a shooting star logo.
Not to be confused with ⭐ Star, 🌟 Glowing Star, and ✨ Sparkles, though their applications may overlap.
Facebook’s design features two stars spinning along two intersecting purple circles, though it previously only featured one yellow ring. Samsung’s design previously displayed several yellow circles and stars.

Dizzy was approved as part of Unicode 6.0 in 2010
under the name “Dizzy Symbol”
and added to Emoji 1.0 in 2015.","💫 Circle And Star
💫 Dizzy","Dizzy Symbol","Dizzy Symbol","U+1F4AB",":dizzy:","💢 Anger Symbol
🐦 Bird
💥 Collision
☄ Comet
😵 Dizzy Face
✴ Eight-Pointed Star
🎇 Sparkler
🎆 Fireworks
🌟 Glowing Star
⚡ High Voltage
🕳 Hole
߷ NKo Symbol Gbakurunen
🌃 Night With Stars
🗯 Right Anger Bubble
🌠 Shooting Star
🔯 Dotted Six-Pointed Star
✨ Sparkles
💖 Sparkling Heart
⭐ Star"
"1573612761-1921","https://emojipedia.org/","😃 Smileys & People","https://emojipedia.org/people/","😃","Smileys & People","Emojis for smileys, people, families, hand gestures, clothing and accessories.","🙆 Person Gesturing OK","https://emojipedia.org/face-with-ok-gesture/","🙆","Person Gesturing OK","A person with arms above her or his head, making an ‘OK’ sign (circle) with the whole body. No gender is specified, but this emoji is generally shown as a woman.
Previously displayed as an alien or blob on Android, and a man on Windows.

Person Gesturing OK was approved as part of Unicode 6.0 in 2010
under the name “Face With OK Gesture”
and added to Emoji 1.0 in 2015.","🙆 Ballerina
🙆 Hands On Head","Woman Gesturing OK","Face With OK Gesture","U+1F646",":ok_woman:","🙆 Person Gesturing OK


🙆🏻 Person Gesturing OK: Light Skin Tone


🙆🏼 Person Gesturing OK: Medium-Light Skin Tone


🙆🏽 Person Gesturing OK: Medium Skin Tone


🙆🏾 Person Gesturing OK: Medium-Dark Skin Tone


🙆🏿 Person Gesturing OK: Dark Skin Tone


🙆‍♂️ Man Gesturing OK


🙆🏻‍♂️ Man Gesturing OK: Light Skin Tone


🙆🏼‍♂️ Man Gesturing OK: Medium-Light Skin Tone


🙆🏽‍♂️ Man Gesturing OK: Medium Skin Tone


🙆🏾‍♂️ Man Gesturing OK: Medium-Dark Skin Tone


🙆🏿‍♂️ Man Gesturing OK: Dark Skin Tone


🙆‍♀️ Woman Gesturing OK


🙆🏻‍♀️ Woman Gesturing OK: Light Skin Tone


🙆🏼‍♀️ Woman Gesturing OK: Medium-Light Skin Tone


🙆🏽‍♀️ Woman Gesturing OK: Medium Skin Tone


🙆🏾‍♀️ Woman Gesturing OK: Medium-Dark Skin Tone


🙆🏿‍♀️ Woman Gesturing OK: Dark Skin Tone"
"1573611623-1409","https://emojipedia.org/","⚽ Activity","https://emojipedia.org/activity/","⚽","Activity","Emojis for sports, music, the arts, hobbies and other activities.","🤸‍♂️ Man Cartwheeling","https://emojipedia.org/man-doing-cartwheel/","🤸‍♂️","Man Cartwheeling","The Man Cartwheeling emoji is a sequence of the 🤸 Person Doing Cartwheel and ♂ Male Sign emojis.
These are combined using a zero width joiner between each character and display as a single emoji on supported platforms.

Man Cartwheeling was added to Emoji 4.0 in 2016.","null","Man Doing Cartwheel","null","U+1F938","null","🚯 No Littering
👨 Man
🕺 Man Dancing
👳 Person Wearing Turban
🤵 Man in Tuxedo
👞 Man’s Shoe
👴 Old Man
🤸 Person Cartwheeling"
"1573612600-1844","https://emojipedia.org/","😃 Smileys & People","https://emojipedia.org/people/","😃","Smileys & People","Emojis for smileys, people, families, hand gestures, clothing and accessories.","🦸‍♂️ Man Superhero","https://emojipedia.org/man-superhero/","🦸‍♂️","Man Superhero","The Man Superhero emoji is a sequence of the 🦸 Superhero and ♂ Male Sign emojis.
These are combined using a zero width joiner between each character and display as a single emoji on supported platforms.

Man Superhero was added to Emoji 11.0 in 2018.","null","Man Superhero","null","U+1F9B8","null","🎱 Pool 8 Ball
🧈 Butter
👨 Man
🕺 Man Dancing
👞 Man’s Shoe
🦸 Superhero
🦹 Supervillain
🦸‍♀️ Woman Superhero"
"1573611116-1174","https://emojipedia.org/","💡 Objects","https://emojipedia.org/objects/","💡","Objects","Emojis for household items, celebrations, stationery and miscellaneous objects.","🎚 Level Slider","https://emojipedia.org/level-slider/","🎚️","Level Slider","A level slider, as adjusts volume on a mixing console. Most platforms depict a silver and black channel fader with scale markings, set to various levels.
Commonly used for various content concerning audio recording and production as well as music more generally. May also be used for figurative senses of level, e.g., next level.
Thanks to its appearance, some may use the emoji to represent a Christian cross.

Level Slider was approved as part of Unicode 7.0 in 2014
and added to Emoji 1.0 in 2015.","null","Level Slider","null","U+1F39A","null","🎚️ on Instagram
🎚️ on Twitter
🎚️ on Wikipedia
🎚️ on Yelp
🎚️ on YouTube
🎚️ on Google Trends
🎚️ on Nomad List"
"1573612042-1590","https://emojipedia.org/","🐻 Animals & Nature","https://emojipedia.org/nature/","🐻","Animals & Nature","Emojis for animals, nature, and weather.","🌐 Globe With Meridians","https://emojipedia.org/globe-with-meridians/","🌐","Globe With Meridians","A stylized globe, with blue meridians (longitudes) and latitude. Depicted with light-blue grid of lines on a white, blue, or empty circle.
May be used as a symbol of the internet or world wide web, global communications, international affairs, connectivity and networks, time zones, coordinates, or the world more generally.
May appear as an icon on Apple devices to change (language) keyboards.
See also 🌎 Globe Showing Americas, 🌍 Globe Showing Europe-Africa, and 🌏 Globe Showing Asia-Australia.

Globe With Meridians was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015.","🌐 Internet
🌐 World Wide Web
🌐 WWW","Globe With Meridians","null","U+1F310",":globe_with_meridians:","📶 Antenna Bars
👥 Busts in Silhouette
🖥 Desktop Computer
🌎 Globe Showing Americas
🌏 Globe Showing Asia-Australia
🌍 Globe Showing Europe-Africa
🔆 Bright Button
🔗 Link
🔅 Dim Button
🕰 Mantelpiece Clock
📱 Mobile Phone
💻 Laptop
📡 Satellite Antenna
🗾 Map of Japan
🕸 Spider Web
📞 Telephone Receiver
🗺 World Map"
"1573610747-1002","https://emojipedia.org/","🔣 Symbols","https://emojipedia.org/symbols/","🔣","Symbols","Heart emojis, clocks, arrows, signs and shapes.","👁️‍🗨️ Eye in Speech Bubble","https://emojipedia.org/eye-in-speech-bubble/","👁️‍🗨️","Eye in Speech Bubble","A speech bubble showing an eye inside. When using text-to-speech on Apple platforms, this emoji is read aloud as: ""Eye in speech bubble representing anti-bullying campaign"". This emoji was released in conjunction with the Ad Council for the I Am A Witness campaign.
The Eye in Speech Bubble emoji is a sequence of the 👁 Eye and 🗨 Left Speech Bubble emojis.
These are combined using a zero width joiner between each character and display as a single emoji on supported platforms.


Eye in Speech Bubble was added to Emoji 2.0 in 2015.","👁️‍🗨️ I Am A Witness","I Am a Witness","null","U+1F441","null","👁️‍🗨️ on Instagram
👁️‍🗨️ on Twitter
👁️‍🗨️ on Wikipedia
👁️‍🗨️ on Yelp
👁️‍🗨️ on YouTube
👁️‍🗨️ on Google Trends
👁️‍🗨️ on Nomad List"
"1573611345-1282","https://emojipedia.org/","🌇 Travel & Places","https://emojipedia.org/travel-places/","🌇","Travel & Places","Emojis for varied scenes, locations, buildings and modes of transport.","🚄 High-Speed Train","https://emojipedia.org/high-speed-train/","🚄","High-Speed Train","A high speed train, designed to cover long distances at high speed.

High-Speed Train was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015.","null","High-Speed Train","null","U+1F684",":bullettrain_side:","🔆 Bright Button
👠 High-Heeled Shoe
🚅 Bullet Train
🛅 Left Luggage
🚈 Light Rail
🚇 Metro
🚞 Mountain Railway
💺 Seat"
"1573611485-1345","https://emojipedia.org/","⚽ Activity","https://emojipedia.org/activity/","⚽","Activity","Emojis for sports, music, the arts, hobbies and other activities.","🎧 Headphone","https://emojipedia.org/headphone/","🎧","Headphone","Headphones, used to listen to music or other forms audio, such as podcasts. Most platforms display this emoji with large over-ear headphones in shades of black, blue, and gray.
Apple previously displayed this emoji as iconic iPod/iPhone white earbuds.

Headphone was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015.","🎧 Earphone
🎧 Headphones
🎧 iPod","Headphones","null","U+1F3A7",":headphones:","🎛 Control Knobs
📀 DVD
🎚 Level Slider
📱 Mobile Phone
🎶 Musical Notes
🎹 Musical Keyboard
💿 Optical Disk
🔈 Speaker Low Volume
🔇 Muted Speaker
🔉 Speaker Medium Volume
🔊 Speaker High Volume
🗣 Speaking Head
🎙 Studio Microphone
🖱 Computer Mouse
📼 Videocassette"
"1573612707-1895","https://emojipedia.org/","😃 Smileys & People","https://emojipedia.org/people/","😃","Smileys & People","Emojis for smileys, people, families, hand gestures, clothing and accessories.","👨‍🌾 Man Farmer","https://emojipedia.org/male-farmer/","👨‍🌾","Man Farmer","The Man Farmer emoji is a sequence of the 👨 Man and 🌾 Ear of Rice emojis.
These are combined using a zero width joiner between each character and display as a single emoji on supported platforms.

Man Farmer was added to Emoji 4.0 in 2016.","null","Man Farmer","null","U+1F468","null","🧺 Basket
🥕 Carrot
🐄 Cow
🐮 Cow Face
🌽 Ear of Corn
🌾 Sheaf of Rice
🐐 Goat
🐂 Ox
🐷 Pig Face
🐏 Ram
🐓 Rooster
🐑 Ewe
🌻 Sunflower
🐃 Water Buffalo"
"1573609679-540","https://emojipedia.org/","🎌 Flags","https://emojipedia.org/flags/","🎌","Flags","List of country flag emojis. 🇯🇵 🇰🇷 🇩🇪 🇨🇳 🇺🇸 🇫🇷 🇪🇸 🇮🇹 🇷🇺 🇬🇧 Emoji flags are supported on all major platforms except Windows, which displays two-letter country codes instead of emoji flag images.","🇸🇾 Flag: Syria","https://emojipedia.org/flag-for-syria/","🇸🇾","Flag: Syria","The flag for Syria, which may show as the letters SY on some platforms.
The Flag: Syria emoji is a sequence of the 🇸 Regional Indicator Symbol Letter S and 🇾 Regional Indicator Symbol Letter Y emojis.
These display as a single emoji on supported platforms.

Flag: Syria was added to Emoji 1.0 in 2015.","🇸🇾 Syrian Flag","Flag of Syria","null","U+1F1F8","null","🇸🇾 on Instagram
🇸🇾 on Twitter
🇸🇾 on Wikipedia
🇸🇾 on Yelp
🇸🇾 on YouTube
🇸🇾 on Google Trends
🇸🇾 on Nomad List"
"1573610757-1007","https://emojipedia.org/","🔣 Symbols","https://emojipedia.org/symbols/","🔣","Symbols","Heart emojis, clocks, arrows, signs and shapes.","💜 Purple Heart","https://emojipedia.org/purple-heart/","💜","Purple Heart","A purple heart emoji. Shown as pink in Android 4.4.

Purple Heart was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015.","null","Purple Heart","null","U+1F49C",":purple_heart:","💟 Heart Decoration
❤ Red Heart
👿 Angry Face With Horns
🟣 Purple Circle
🧡 Orange Heart
☂ Umbrella
🤍 White Heart
💛 Yellow Heart"
"1573612050-1594","https://emojipedia.org/","🐻 Animals & Nature","https://emojipedia.org/nature/","🐻","Animals & Nature","Emojis for animals, nature, and weather.","🦑 Squid","https://emojipedia.org/squid/","🦑","Squid","A squid, an octopus-like sea animal with ten arms. Generally depicted as a pinkish-orange giant squid, facing forward or angled to the left, with a slender, arrow-like body, small eyes, and two, long arms raised up at its sides. Platforms generally depict six arms.
Occasionally used to represent squid as a food item. Not to be confused with 🐙 Octopus, though their applications may overlap.
Microsoft, WhatsApp, and Twitter’s squids are facing forward. Samsung’s squid was previously gray.

Squid was approved as part of Unicode 9.0 in 2016
and added to Emoji 3.0 in 2016.","null","Squid","null","U+1F991","null","🦑 on Instagram
🦑 on Twitter
🦑 on Wikipedia
🦑 on Yelp
🦑 on YouTube
🦑 on Google Trends
🦑 on Nomad List"
"1573612853-1962","https://emojipedia.org/","😃 Smileys & People","https://emojipedia.org/people/","😃","Smileys & People","Emojis for smileys, people, families, hand gestures, clothing and accessories.","🦶 Foot","https://emojipedia.org/foot/","🦶","Foot","A human foot shown with five toes and may include part or all of the ankle. Shown on Apple platforms as the sole of a foot.

Foot was approved as part of Unicode 11.0 in 2018
and added to Emoji 11.0 in 2018.","null","Foot","null","U+1F9B6","null","👟 Running Shoe
🩰 Ballet Shoes
🥿 Flat Shoe
👣 Footprints
👠 High-Heeled Shoe
🥾 Hiking Boot
🦵 Leg
🧴 Lotion Bottle
👞 Man’s Shoe
🦿 Mechanical Leg
🖐 Hand With Fingers Splayed
🎿 Skis
👢 Woman’s Boot"
"1573610242-783","https://emojipedia.org/","🔣 Symbols","https://emojipedia.org/symbols/","🔣","Symbols","Heart emojis, clocks, arrows, signs and shapes.","⚫ Black Circle","https://emojipedia.org/medium-black-circle/","⚫","Black Circle","Black Circle was approved as part of Unicode 4.1 in 2005
under the name “Medium Black Circle”
and added to Emoji 1.0 in 2015.","null","Black Circle","Medium Black Circle","U+26AB",":black_circle:","🖤 Black Heart
⬛ Black Large Square
💣 Bomb
✳ Eight-Spoked Asterisk
🕳 Hole
🐞 Lady Beetle
🔵 Blue Circle
🔴 Red Circle
📓 Notebook
🔘 Radio Button
☯ Yin Yang"
"1573611182-1206","https://emojipedia.org/","💡 Objects","https://emojipedia.org/objects/","💡","Objects","Emojis for household items, celebrations, stationery and miscellaneous objects.","🛎 Bellhop Bell","https://emojipedia.org/bellhop-bell/","🛎️","Bellhop Bell","Ding! A call bell, as pressed at a front desk or reception to alert staff for service, such as from a concierge or bellhop (porter) to carry luggage at a hotel. Generally depicted as a golden bell on a wooden stand.
Commonly represents alerts or notifications to bring attention to important content. May also be used of various content concerning the hospitality and service industries.
Microsoft’s design features a silver bell radiating yellow rays, as if ringing.

Bellhop Bell was approved as part of Unicode 7.0 in 2014
and added to Emoji 1.0 in 2015.","null","Bellhop Bell","null","U+1F6CE","null","🛎️ on Instagram
🛎️ on Twitter
🛎️ on Wikipedia
🛎️ on Yelp
🛎️ on YouTube
🛎️ on Google Trends
🛎️ on Nomad List"
"1573612222-1673","https://emojipedia.org/","🐻 Animals & Nature","https://emojipedia.org/nature/","🐻","Animals & Nature","Emojis for animals, nature, and weather.","🐇 Rabbit","https://emojipedia.org/rabbit/","🐇","Rabbit","A rabbit, a hoppy mammal with long ears. Depicted as a white, gray, or brown rabbit in full profile facing left with pink ears and a short tail, sitting on its long, hind legs or on all fours.
May be used in association with spring, Easter, magic, bunny ears, or various rabbit-based characters or expressions (e.g., going down the rabbit hole).
See also 🐰 Rabbit Face. One of the 12 animals of the Chinese zodiac.
Apple’s rabbit has red eyes, WhatsApp’s whiskers. Microsoft’s rabbit was previously brown, Facebook’s white.

Rabbit was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015.","🐇 Bunny
🐇 Bunny Rabbit","Rabbit","null","U+1F407",":rabbit2:","🐤 Baby Chick
🦡 Badger
🥕 Carrot
🐿 Chipmunk
🦌 Deer
🦊 Fox
🐥 Front-Facing Baby Chick
🐹 Hamster
🐣 Hatching Chick
🦔 Hedgehog
🕳 Hole
🐁 Mouse
🐭 Mouse Face
🦦 Otter
🐰 Rabbit Face
🐀 Rat
🌱 Seedling
🦨 Skunk
🎩 Top Hat
🐢 Turtle
👯 People With Bunny Ears"
"1573612648-1867","https://emojipedia.org/","😃 Smileys & People","https://emojipedia.org/people/","😃","Smileys & People","Emojis for smileys, people, families, hand gestures, clothing and accessories.","🕵️‍♂️ Man Detective","https://emojipedia.org/male-sleuth/","🕵️‍♂️","Man Detective","The male version of the 🕵 Sleuth or Spy emoji. Currently identical in appearance to the non-gendered base emoji.
The Man Detective emoji is a sequence of the 🕵 Sleuth or Spy and ♂ Male Sign emojis.
These are combined using a zero width joiner between each character and display as a single emoji on supported platforms.

Man Detective was added to Emoji 4.0 in 2016.","null","Man Sleuth","null","U+1F575","null","🔍 Magnifying Glass Tilted Left
👨 Man
🤵 Man in Tuxedo
👞 Man’s Shoe
👴 Old Man
🔎 Magnifying Glass Tilted Right
🕵 Detective
🕵️‍♀️ Woman Detective"
"1573610563-914","https://emojipedia.org/","🔣 Symbols","https://emojipedia.org/symbols/","🔣","Symbols","Heart emojis, clocks, arrows, signs and shapes.","🔙 Back Arrow","https://emojipedia.org/back-with-leftwards-arrow-above/","🔙","Back Arrow","Back Arrow was approved as part of Unicode 6.0 in 2010
under the name “Back With Leftwards Arrow Above”
and added to Emoji 1.0 in 2015.","🔙 Back","Back Arrow","Back With Leftwards Arrow Above","U+1F519",":back:","🖂 Back of Envelope
🔚 End Arrow
📩 Envelope With Arrow
🔛 On! Arrow
🤚 Raised Back of Hand
🔜 Soon Arrow
🗤 Three Rays Above
🔝 Top Arrow"
"1573610863-1055","https://emojipedia.org/","💡 Objects","https://emojipedia.org/objects/","💡","Objects","Emojis for household items, celebrations, stationery and miscellaneous objects.","🗜 Clamp","https://emojipedia.org/compression/","🗜️","Clamp","A metal clamp or vice, as screwed to hold or compress materials like wood or metal. Depicted as a C-clamp or F-clamp, its screw in various positions.
Commonly used for various content concerning tools, equipment, and technology. May also represent file compression in computer science. An image of a clamp, for example, is featured in the WinZip icon.
Twitter’s clamp is red. Samsung’s design previously featured a clamp around a cardboard box.

Clamp was approved as part of Unicode 7.0 in 2014
under the name “Compression”
and added to Emoji 1.0 in 2015.","🗜️ Clamp
🗜️ Table Vice
🗜️ WinZip","Clamp","Compression","U+1F5DC","null","🗜️ on Instagram
🗜️ on Twitter
🗜️ on Wikipedia
🗜️ on Yelp
🗜️ on YouTube
🗜️ on Google Trends
🗜️ on Nomad List"
"1573611238-1232","https://emojipedia.org/","🌇 Travel & Places","https://emojipedia.org/travel-places/","🌇","Travel & Places","Emojis for varied scenes, locations, buildings and modes of transport.","🚟 Suspension Railway","https://emojipedia.org/suspension-railway/","🚟","Suspension Railway","Similar to a monorail, a suspension railway is elevated, but the vehicle is suspended under the track.

Suspension Railway was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015.","null","Suspension Railway","null","U+1F69F",":suspension_railway:","🧱 Brick
⚀ Die Face-1
🏻 Light Skin Tone
🥇 1st Place Medal
🚅 Bullet Train
🚇 Metro
🚞 Mountain Railway
🇫 Regional Indicator Symbol Letter F"
"1573612022-1581","https://emojipedia.org/","🐻 Animals & Nature","https://emojipedia.org/nature/","🐻","Animals & Nature","Emojis for animals, nature, and weather.","🌙 Crescent Moon","https://emojipedia.org/crescent-moon/","🌙","Crescent Moon","A crescent moon, as in its waxing crescent phase. Depicts the moon as a thin, golden crescent, curving to the right and not displaying the remaining outline of the moon.
May be used for the moon more generally and saying good night. May be used in association with ☪️ Star and Crescent, a popular but unofficial symbol of Islam.
As of March 2019, sending this emoji over Facebook Messenger activates dark mode.
See also 🌒 Waxing Crescent Moon.
Google’s moon once resembled a waning crescent moon, Twitter and Facebook's moons were previously silver.

Crescent Moon was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015.","null","Crescent Moon","null","U+1F319",":crescent_moon:","☀ Sun
🥐 Croissant
🌓 First Quarter Moon
🌛 First Quarter Moon Face
🇹🇷 Flag: Turkey
🥠 Fortune Cookie
🌕 Full Moon
🌝 Full Moon Face
🌗 Last Quarter Moon
🌜 Last Quarter Moon Face
🌌 Milky Way
🥮 Moon Cake
🎑 Moon Viewing Ceremony
🌑 New Moon
🌚 New Moon Face
🌃 Night With Stars
😴 Sleeping Face
☪ Star and Crescent
🌘 Waning Crescent Moon
🌖 Waning Gibbous Moon
🌒 Waxing Crescent Moon
🌔 Waxing Gibbous Moon
⭐ Star"
"1573611937-1542","https://emojipedia.org/","🍔 Food & Drink","https://emojipedia.org/food-drink/","🍔","Food & Drink","Emojis for fruit, vegetables, meals, beverages and utensils.","🍊 Tangerine","https://emojipedia.org/tangerine/","🍊","Tangerine","An orange-colored citrus fruit with a green leaf or leaves and stem. Officially depicting a tangerine, a type of mandarin (mikan in Japan). Often used as a garden-variety orange. Either way, a good source of vitamin C.

Tangerine was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015.","🍊 Mandarin
🍊 Orange","Tangerine","null","U+1F34A",":tangerine:","🥓 Bacon
🍌 Banana
🥣 Bowl With Spoon
🥕 Carrot
🍫 Chocolate Bar
🥥 Coconut
🥐 Croissant
🥤 Cup With Straw
🍇 Grapes
🍏 Green Apple
🍋 Lemon
🥭 Mango
🍈 Melon
📙 Orange Book
🥞 Pancakes
🍑 Peach
🍐 Pear
🍍 Pineapple
🍎 Red Apple
🍹 Tropical Drink"
"1573610544-905","https://emojipedia.org/","🔣 Symbols","https://emojipedia.org/symbols/","🔣","Symbols","Heart emojis, clocks, arrows, signs and shapes.","☸ Wheel of Dharma","https://emojipedia.org/wheel-of-dharma/","☸️","Wheel of Dharma","A symbol often used in relation to the Indian religions of Hinduism, Buddhism, Sikhism and Jainism.

Wheel of Dharma was approved as part of Unicode 1.1 in 1993
and added to Emoji 1.0 in 2015.","☸️ Helm","Wheel of Dharma","null","U+2638","null","☸️ on Instagram
☸️ on Twitter
☸️ on Wikipedia
☸️ on Yelp
☸️ on YouTube
☸️ on Google Trends
☸️ on Nomad List"
"1573612581-1835","https://emojipedia.org/","😃 Smileys & People","https://emojipedia.org/people/","😃","Smileys & People","Emojis for smileys, people, families, hand gestures, clothing and accessories.","🧚‍♂️ Man Fairy","https://emojipedia.org/man-fairy/","🧚‍♂️","Man Fairy","The Man Fairy emoji is a sequence of the 🧚 Fairy and ♂ Male Sign emojis.
These are combined using a zero width joiner between each character and display as a single emoji on supported platforms.

Man Fairy was added to Emoji 5.0 in 2017.","null","Man Fairy","null","U+1F9DA","null","🧑 Person
🧔 Man: Beard
🧁 Cupcake
🧚 Fairy
👨 Man
🕺 Man Dancing
👴 Old Man
🧟 Zombie"
"1573611929-1538","https://emojipedia.org/","🍔 Food & Drink","https://emojipedia.org/food-drink/","🍔","Food & Drink","Emojis for fruit, vegetables, meals, beverages and utensils.","🥭 Mango","https://emojipedia.org/mango/","🥭","Mango","The ripe fruit of a tropical mango. Variously depicted in shades of yellow, red, orange, and green with a single, green leaf and stem.

Mango was approved as part of Unicode 11.0 in 2018
and added to Emoji 11.0 in 2018.","null","Mango","null","U+1F96D","null","🥭 on Instagram
🥭 on Twitter
🥭 on Wikipedia
🥭 on Yelp
🥭 on YouTube
🥭 on Google Trends
🥭 on Nomad List"
"1573610843-1045","https://emojipedia.org/","💡 Objects","https://emojipedia.org/objects/","💡","Objects","Emojis for household items, celebrations, stationery and miscellaneous objects.","🔬 Microscope","https://emojipedia.org/microscope/","🔬","Microscope","A microscope, as used in science laboratories to magnify small objects, such as cells or insects. Depicted as a compound opitical microscope with an adjustable eyepiece, lens, arm, and slide stage mounted on a base. Generally shown as metal with the viewing apparatus facing left.
Commonly used for various content concerning science and research. May also be used for various senses of inspection (e.g., taking a closer took).
Google’s design is shown in red.

Microscope was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015.","🔬 Magnify
🔬 Science","Microscope","null","U+1F52C",":microscope:","🧮 Abacus
⚗ Alembic
📊 Bar Chart
🐛 Bug
🧬 DNA
👓 Glasses
🥽 Goggles
🥼 Lab Coat
🔍 Magnifying Glass Tilted Left
👨‍🔬 Man Scientist
🦠 Microbe
🦟 Mosquito
🧫 Petri Dish
🔎 Magnifying Glass Tilted Right
🔭 Telescope
🧪 Test Tube
👩‍🔬 Woman Scientist"
"1573610217-771","https://emojipedia.org/","🔣 Symbols","https://emojipedia.org/symbols/","🔣","Symbols","Heart emojis, clocks, arrows, signs and shapes.","🔸 Small Orange Diamond","https://emojipedia.org/small-orange-diamond/","🔸","Small Orange Diamond","A small version of the large orange diamond emoji.

Small Orange Diamond was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015.","null","Small Orange Diamond","null","U+1F538",":small_orange_diamond:","♦ Diamond Suit
💠 Diamond With a Dot
✳ Eight-Spoked Asterisk
🔷 Large Blue Diamond
🔶 Large Orange Diamond
📙 Orange Book
🦧 Orangutan
🔹 Small Blue Diamond"
"1573612479-1789","https://emojipedia.org/","😃 Smileys & People","https://emojipedia.org/people/","😃","Smileys & People","Emojis for smileys, people, families, hand gestures, clothing and accessories.","👪 Family","https://emojipedia.org/family/","👪","Family","A family unit shown with two adults and one child. Previously displayed with the same design as 👨‍👩‍👦 Family: Man, Woman, Boy on most platforms, but now has its own gender inclusive appearance.

Family was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015.","👪 Parents With Child","Family With Mother, Father and Son","null","U+1F46A",":family:","👪 Family


👪🏻 Family, Type-1-2



👪🏼 Family, Type-3


👪🏽 Family, Type-4


👪🏾 Family, Type-5


👪🏿 Family, Type-6"
